GridID,NR,SR,TP,ER
1,6,4,0,0.106533663
2,188,19,0.037234,7.244078294
3,45,19,0.0222222,1.461277706
4,70,22,0.1142857,2.736468035
5,9,8,0,0.240583186
6,12,8,0,0.249699092
7,20,14,0.05,0.943548202
8,105,24,0.0095238,3.939331942
9,75,20,0,2.212195573
10,131,22,0.0305344,5.268704944
11,63,19,0.015873,2.346170315
12,46,22,0.0434783,2.256952951
13,103,20,0.0873786,3.880598094
14,14,8,0,0.287323454
15,2,2,0,0.039120715
16,17,13,0,0.344184657
17,23,15,0,0.591817345
18,3,3,0,0.11410602
19,10,10,0,0.255593897
20,41,16,0,1.074888024
21,7,5,0,0.133953575
22,44,23,0.0454545,1.781708418
23,64,24,0.15625,4.243429403
24,5,4,0,0.086883633
25,14,10,0,0.320800774
26,8,8,0,0.157102672
27,1,1,0,0.023255814
28,2,2,0,0.034785239
29,8,8,0,0.458963198
30,21,12,0,0.642568781
31,11,7,0,0.280217086
32,9,8,0,0.352934441
33,26,14,0.0769231,0.836798943
34,34,13,0,2.691516321
35,0,0,0,0
36,10,8,0,0.209023851
37,3,3,0,0.203814262
38,1,1,0,0.023255814
39,0,0,0,0
40,2,2,0,0.070874862
41,48,20,0,1.374745073
42,23,14,0,0.627747235
43,9,7,0,0.179475255
44,25,15,0.08,0.821541823
45,11,9,0,0.221850351
46,0,0,0,0
47,23,12,0,0.494365026
48,1,1,0,0.023255814
49,11,9,0,0.241603186
50,31,19,0,0.791809798
51,65,23,0.0307692,4.00480321
52,27,16,0,0.736774562
53,16,12,0,0.527822046
54,21,13,0,0.568425332
55,6,5,0,0.127601231
56,6,6,0,0.177189463
57,1,1,0,0.014925373
58,13,12,0,0.310003154
59,52,16,0,1.079975425
60,7,4,0,0.120746259
61,14,6,0,0.618385817
62,46,18,0,2.162401307
63,0,0,0,0
64,0,0,0,0
65,12,9,0,0.325381791
66,5,5,0,0.163741266
67,6,5,0,0.114827721
68,31,12,0,0.611393077
69,43,15,0,0.947890313
70,2,1,0,0.034482759
71,4,4,0,0.079313879
72,108,20,0.0277778,5.207656783
73,17,9,0.2352941,0.956289129
74,24,19,0.0416667,2.303342018
75,1,1,0,0.016393443
76,0,0,0,0
77,45,15,0.0444444,1.982791655
78,60,20,0.0166667,2.750860096
79,1,1,0,0.071428571
80,0,0,0,0
81,92,25,0.0543478,4.957717888
82,2,2,0,0.052107728
83,2,2,0,0.050639659
84,58,18,0.0344828,2.044123379
85,159,30,0.0377358,11.09004004
86,0,0,0,0
87,48,22,0.1041667,3.309941961
88,34,14,0.0294118,1.26536076
89,18,11,0,0.578765577
90,0,0,0,0
91,13,12,0.0769231,0.969315253
92,15,13,0,0.941271205
93,10,10,0.1,0.424959815
