GridID,X,Y
1,-56.375,-34.8270988
2,-56.2024994,-34.8454018
3,-55.9978981,-34.8252983
4,-55.5410004,-34.7886009
5,-55.3242989,-34.8152008
6,-55.108799,-34.8354988
7,-54.8557014,-34.8438988
8,-54.6311989,-34.7993011
9,-56.9235992,-34.5936012
10,-56.7428017,-34.6329994
11,-56.4762001,-34.6632004
12,-56.2085991,-34.676899
13,-55.9362984,-34.6743011
14,-55.661499,-34.6673012
15,-55.3900986,-34.6688995
16,-55.1174011,-34.6649017
17,-54.8446999,-34.6604004
18,-54.5736008,-34.6539993
19,-54.3124008,-34.6175995
20,-54.1311989,-34.5723991
21,-57.8017998,-34.3988991
22,-57.5741997,-34.3894997
23,-57.2969017,-34.3891983
24,-57.0087013,-34.4388008
25,-56.7550011,-34.4538002
26,-56.4828987,-34.4528999
27,-56.210701,-34.4514999
28,-55.9385986,-34.4494019
29,-55.6665001,-34.446701
30,-55.3945007,-34.4435005
31,-55.1225014,-34.4396019
32,-54.8504982,-34.4351006
33,-54.5786018,-34.4300003
34,-54.3068008,-34.4243011
35,-54.0447998,-34.408699
36,-53.843399,-34.3633003
37,-58.0688019,-34.1646004
38,-57.8386993,-34.2235985
39,-57.5699997,-34.2271996
40,-57.2985992,-34.228199
41,-57.0270996,-34.2285995
42,-56.7556992,-34.2282982
43,-56.4842987,-34.2275009
44,-56.2127991,-34.2260017
45,-55.9413986,-34.223999
46,-55.6701012,-34.2212982
47,-55.3987999,-34.2181015
48,-55.1274986,-34.2141991
49,-54.8562012,-34.2098007
50,-54.5850983,-34.2047997
51,-54.3139992,-34.1991005
52,-54.0429993,-34.1929016
53,-53.7981987,-34.1693993
54,-53.6116982,-34.0889015
55,-58.3101006,-33.9411011
56,-58.1080017,-33.9967003
57,-57.8391991,-34.0001984
58,-57.5685005,-34.0018005
59,-57.2977982,-34.0027008
60,-57.0270996,-34.0031013
61,-56.7564011,-34.0028
62,-56.4855995,-34.0019989
63,-56.214901,-34.0005989
64,-55.9441986,-33.9985008
65,-55.6735992,-33.9958992
66,-55.4029999,-33.9926987
67,-55.1324005,-33.9888992
68,-54.8619003,-33.9845009
69,-54.5914993,-33.9794998
70,-54.3210983,-33.9738998
71,-54.0508003,-33.967701
72,-53.7806015,-33.9608994
73,-53.5800018,-33.9441986
74,-58.3328018,-33.7687988
75,-58.1069984,-33.7725983
76,-57.8370018,-33.7747993
77,-57.5670013,-33.7762985
78,-57.2970009,-33.7773018
79,-57.0270004,-33.7775993
80,-56.757,-33.777401
81,-56.4869995,-33.7765999
82,-56.2169991,-33.7751007
83,-55.9469986,-33.7731018
84,-55.6771011,-33.7705002
85,-55.4071999,-33.7673988
86,-55.1372986,-33.7635002
87,-54.8675003,-33.759201
88,-54.5978012,-33.7542
89,-54.3280983,-33.7486992
90,-54.0584984,-33.7425003
91,-53.7890015,-33.7358017
92,-53.5522995,-33.7411003
93,-53.3785019,-33.7489014
94,-58.3289986,-33.5471001
95,-58.1040993,-33.5471992
96,-57.8348007,-33.5493011
97,-57.5654984,-33.5508003
98,-57.2961998,-33.5517998
99,-57.0269012,-33.5521011
100,-56.7575989,-33.551899
101,-56.4883003,-33.5511017
102,-56.2190018,-33.5497017
103,-55.9497986,-33.547699
104,-55.6805,-33.5451012
105,-55.4113007,-33.5419006
106,-55.1422005,-33.5382004
107,-54.8731003,-33.5337982
108,-54.6040001,-33.5289001
109,-54.3350983,-33.5234985
110,-54.0662003,-33.5173988
111,-53.7974014,-33.5107002
112,-53.6111984,-33.5200996
113,-58.3084984,-33.3289986
114,-58.1012001,-33.3218002
115,-57.8326988,-33.3237991
116,-57.5640984,-33.3252983
117,-57.2955017,-33.3263016
118,-57.0269012,-33.3265991
119,-56.7582016,-33.3264008
120,-56.4896011,-33.3255997
121,-56.2210999,-33.3241997
122,-55.9524994,-33.3222008
123,-55.6838989,-33.3195992
124,-55.4154015,-33.3165016
125,-55.1469994,-33.3128014
126,-54.8786011,-33.3084984
127,-54.610199,-33.3036003
128,-54.3419991,-33.2981987
129,-54.0737991,-33.2921982
130,-53.8056984,-33.2854996
131,-53.635601,-33.3087006
132,-58.2930984,-33.1607018
133,-58.0738983,-33.1179008
134,-57.8305016,-33.0984001
135,-57.5625992,-33.0998001
136,-57.2947006,-33.1007996
137,-57.0267982,-33.1011009
138,-56.7588997,-33.1008987
139,-56.4908981,-33.1001015
140,-56.2229996,-33.0987015
141,-55.9552002,-33.0966988
142,-55.6873016,-33.0942001
143,-55.4194984,-33.0910988
144,-55.1516991,-33.0875015
145,-54.8839989,-33.0831985
146,-54.6162987,-33.0783005
147,-54.3488007,-33.0728989
148,-54.0811996,-33.0668983
149,-53.8138008,-33.0603981
150,-53.6128998,-33.0228996
151,-53.3712006,-32.9376984
152,-58.0271988,-32.8540993
153,-57.8283997,-32.8728981
154,-57.5611992,-32.8744011
155,-57.2939987,-32.8753014
156,-57.0266991,-32.8755989
157,-56.7594986,-32.8754005
158,-56.4921989,-32.8745995
159,-56.2249985,-32.8731995
160,-55.9578018,-32.8712997
161,-55.6906013,-32.8688011
162,-55.4235001,-32.8656998
163,-55.1563988,-32.8619995
164,-54.8894005,-32.8577995
165,-54.6223984,-32.8530006
166,-54.3554993,-32.8476982
167,-54.0886002,-32.8417015
168,-53.8218994,-32.8352013
169,-53.5551987,-32.8282013
170,-53.3534012,-32.8019981
171,-58.0541992,-32.6419983
172,-57.8263016,-32.6473999
173,-57.5597992,-32.6488991
174,-57.2932014,-32.6497002
175,-57.0266991,-32.6501007
176,-56.7601013,-32.6498985
177,-56.4934998,-32.6491013
178,-56.2270012,-32.6477013
179,-55.9603996,-32.6458015
180,-55.6939011,-32.6432991
181,-55.4275017,-32.6403008
182,-55.1610985,-32.6366005
183,-54.8946991,-32.6324005
184,-54.6283989,-32.6277008
185,-54.3620987,-32.6223984
186,-54.0960007,-32.6165009
187,-53.8298988,-32.6100998
188,-53.5665016,-32.6050987
189,-53.3250999,-32.6523018
190,-58.0629005,-32.4286003
191,-57.8242989,-32.4219017
192,-57.5583992,-32.4233017
193,-57.2924995,-32.4241982
194,-57.0265999,-32.4245987
195,-56.7607002,-32.4243011
196,-56.4948006,-32.4235992
197,-56.2289009,-32.4221992
198,-55.9630013,-32.4202995
199,-55.6972008,-32.4179001
200,-55.4314003,-32.4147987
201,-55.1655998,-32.4112015
202,-54.8998985,-32.4071007
203,-54.6343002,-32.402401
204,-54.3686981,-32.3970985
205,-54.103199,-32.3913002
206,-53.8377991,-32.3848991
207,-53.6515999,-32.4043007
208,-58.0405006,-32.1850014
209,-57.8222008,-32.1963997
210,-57.5569992,-32.1977997
211,-57.2918015,-32.1987
212,-57.0265007,-32.1990013
213,-56.7612991,-32.1987991
214,-56.4959984,-32.1980019
215,-56.2308006,-32.196701
216,-55.9655991,-32.1948013
217,-55.7004013,-32.1924019
218,-55.4352989,-32.1893997
219,-55.1702003,-32.1857986
220,-54.9051018,-32.1817017
221,-54.6400986,-32.1769981
222,-54.3751984,-32.1717987
223,-54.1104012,-32.1660004
224,-53.8540001,-32.1668015
225,-53.6952019,-32.2383995
226,-58.0560989,-31.9631004
227,-57.8202019,-31.9708004
228,-57.5555992,-31.9722996
229,-57.2910995,-31.9731998
230,-57.0265007,-31.9734993
231,-56.7619019,-31.9733009
232,-56.4972992,-31.9724998
233,-56.2327003,-31.9712009
