scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Argenteohyla siemersi,Amphibia,Anura,Hylidae,Argenteohyla,siemersi,,rana motor,EN,DD,06/07/2019
Boana albopunctata,Amphibia,Anura,Hylidae,Boana,albopunctata,,rana punteada de blanco,LC,DD,06/07/2019
Boana pulchella,Amphibia,Anura,Hylidae,Boana,pulchella,,rana trepadora,LC,LC,06/07/2019
Ceratophrys ornata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,,escuerzo grande,NT,VU,06/07/2019
Chthonerpeton indistinctum,Amphibia,Gymnophiona,Caeciliidae,Chthonerpeton,indistinctum,,cecilia,LC,LC,06/07/2019
Dendropsophus minutus,Amphibia,Anura,Hylidae,Dendropsophus,minutus,,ranita rayada,LC,EN,06/07/2019
Dendropsophus nanus,Amphibia,Anura,Hylidae,Dendropsophus,nanus,,ranita enana del chaco,LC,EN,06/07/2019
Dendropsophus sanborni,Amphibia,Anura,Hylidae,Dendropsophus,sanborni,,ranita enana de sanborn,LC,LC,06/07/2019
Elachistocleis bicolor,Amphibia,Anura,Microhylidae,Elachistocleis,bicolor,,sapito oval,LC,LC,06/07/2019
Hylodes asper,Amphibia,Anura,Hylodidae,Hylodes,asper,,,LC,,06/07/2019
Julianus uruguayus,Amphibia,Anura,Hylidae,Julianus,uruguayus,,ranita uruguaya,LC,LC,06/07/2019
Leptodactylus chaquensis,Amphibia,Anura,Leptodactylidae,Leptodactylus,chaquensis,,rana del chaco,LC,LC,06/07/2019
Leptodactylus furnarius,Amphibia,Anura,Leptodactylidae,Leptodactylus,furnarius,,rana de campo grande,LC,CR,06/07/2019
Leptodactylus gracilis,Amphibia,Anura,Leptodactylidae,Leptodactylus,gracilis,,rana saltadora,LC,LC,06/07/2019
Leptodactylus latinasus,Amphibia,Anura,Leptodactylidae,Leptodactylus,latinasus,,rana piadora,LC,LC,06/07/2019
Leptodactylus latrans,Amphibia,Anura,Leptodactylidae,Leptodactylus,latrans,,rana común,LC,LC,06/07/2019
Leptodactylus mystacinus,Amphibia,Anura,Leptodactylidae,Leptodactylus,mystacinus,,rana de bigotes,LC,LC,06/07/2019
Leptodactylus podicipinus,Amphibia,Anura,Leptodactylidae,Leptodactylus,podicipinus,,rana de vientre moteado,LC,DD,06/07/2019
Limnomedusa macroglossa,Amphibia,Anura,Cycloramphidae,Limnomedusa,macroglossa,,rana de las piedras,LC,LC,06/07/2019
Lysapsus limellum,Amphibia,Anura,Hylidae,Lysapsus,limellum,,rana boyadora chica,LC,EN,06/07/2019
Melanophryniscus atroluteus,Amphibia,Anura,Bufonidae,Melanophryniscus,atroluteus,,sapito banderita española,LC,LC,06/07/2019
Melanophryniscus devincenzii,Amphibia,Anura,Bufonidae,Melanophryniscus,devincenzii,,sapito de devicenzi,EN,EN,06/07/2019
Melanophryniscus langonei,Amphibia,Anura,Bufonidae,Melanophryniscus,langonei,,sapito de langone,CR,CR,06/07/2019
Melanophryniscus montevidensis,Amphibia,Anura,Bufonidae,Melanophryniscus,montevidensis,,sapito de darwin,VU,CR,06/07/2019
Melanophryniscus pachyrhynus,Amphibia,Anura,Bufonidae,Melanophryniscus,pachyrhynus,,sapito de nariz gorda,DD,EN,06/07/2019
Melanophryniscus sanmartini,Amphibia,Anura,Bufonidae,Melanophryniscus,sanmartini,,sapito de san martín,NT,NT,06/07/2019
Odontophrynus americanus,Amphibia,Anura,Cycloramphidae,Odontophrynus,americanus,,escuerzo chico,LC,LC,06/07/2019
Odontophrynus maisuma,Amphibia,Anura,Cycloramphidae,Odontophrynus,maisuma,,escuercito,NE,NT,06/07/2019
Ololygon aromothyella,Amphibia,Anura,Hylidae,Ololygon,aromothyella,,ranita de las tormentas,DD,EN,06/07/2019
Ololygon berthae,Amphibia,Anura,Hylidae,Ololygon,berthae,,ranita de pintas naranja,LC,LC,06/07/2019
Phyllomedusa iheringii,Amphibia,Anura,Hylidae,Phyllomedusa,iheringii,,rana monito,LC,LC,06/07/2019
Physalaemus albonotatus,Amphibia,Anura,Leiuperidae,Physalaemus,albonotatus,,,LC,NE,06/07/2019
Physalaemus biligonigerus,Amphibia,Anura,Leiuperidae,Physalaemus,biligonigerus,,ranita de cuatro ojos,LC,LC,06/07/2019
Physalaemus cuvieri,Amphibia,Anura,Leiuperidae,Physalaemus,cuvieri,,rana perro,LC,DD,06/07/2019
Physalaemus fernandezae,Amphibia,Anura,Leiuperidae,Physalaemus,fernandezae,,ranita de fernández,LC,EN,06/07/2019
Physalaemus gracilis,Amphibia,Anura,Leiuperidae,Physalaemus,gracilis,,ranita gato,LC,LC,06/07/2019
Physalaemus henselii,Amphibia,Anura,Leiuperidae,Physalaemus,henselii,,ranita de hensel,LC,LC,06/07/2019
Physalaemus riograndensis,Amphibia,Anura,Leiuperidae,Physalaemus,riograndensis,,ranita de río grande,LC,LC,06/07/2019
Pleurodema bibroni,Amphibia,Anura,Leiuperidae,Pleurodema,bibroni,,ranita de bibron,NT,NT,06/07/2019
Pseudis minuta,Amphibia,Anura,Hylidae,Pseudis,minuta,,rana boyadora grande,LC,LC,06/07/2019
Pseudopaludicola falcipes,Amphibia,Anura,Leiuperidae,Pseudopaludicola,falcipes,,rana de vientre moteado,LC,LC,06/07/2019
Rhinella achavali,Amphibia,Anura,Bufonidae,Rhinella,achavali,,sapo grande de achaval,LC,NT,06/07/2019
Rhinella arenarum,Amphibia,Anura,Bufonidae,Rhinella,arenarum,,sapo común,LC,LC,06/07/2019
Rhinella diptycha,Amphibia,Anura,Bufonidae,Rhinella,diptycha,,,DD,NE,06/07/2019
Rhinella dorbignyi,Amphibia,Anura,Bufonidae,Rhinella,dorbignyi,,sapitos de jardín,LC,LC,06/07/2019
Rhinella fernandezae,Amphibia,Anura,Bufonidae,Rhinella,fernandezae,,sapo cururú,LC,LC,06/07/2019
Scinax fuscovarius,Amphibia,Anura,Hylidae,Scinax,fuscovarius,,rana de flancos amarillos,LC,LC,06/07/2019
Scinax granulatus,Amphibia,Anura,Hylidae,Scinax,granulatus,,rana roncadora,LC,LC,06/07/2019
Scinax nasicus,Amphibia,Anura,Hylidae,Scinax,nasicus,,ranita de pecho manchado,LC,EN,06/07/2019
Scinax squalirostris,Amphibia,Anura,Hylidae,Scinax,squalirostris,,ranita hocicuda,LC,LC,06/07/2019
