scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Accipiter bicolor,Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,,gavilán bicolor,LC,,06/07/2019,,,,,,,,,,,,,,,
Accipiter striatus,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,,gavilán chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Actitis macularius,Aves,Charadriiformes,Scolopacidae,Actitis,macularius,,playerito manchado,LC,,06/07/2019,,,,,,,,,,,,,,,
Aegolius harrisii,Aves,Strigiformes,Strigidae,Aegolius,harrisii,,lechucita canela,LC,EN,06/07/2019,,,,,,,,,,,,,,,
Agelaioides badius,Aves,Passeriformes,Icteridae,Agelaioides,badius,,músico,LC,,06/07/2019,,,,,,,,,,,,,,,
Agelasticus thilius,Aves,Passeriformes,Icteridae,Agelasticus,thilius,,alférez,LC,,06/07/2019,,,,,,,,,,,,,,,
Agriornis murinus,Aves,Passeriformes,Tyrannidae,Agriornis,murinus,,gaucho chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Alectrurus risora,Aves,Passeriformes,Tyrannidae,Alectrurus,risora,,yetapá de collar,VU,CR,06/07/2019,,,,,,,,,,,,,,,
Alopochelidon fucata,Aves,Passeriformes,Hirundinidae,Alopochelidon,fucata,,golondrina cara rojiza,LC,,06/07/2019,,,,,,,,,,,,,,,
Amazonetta brasiliensis,Aves,Anseriformes,Anatidae,Amazonetta,brasiliensis,,pato brasilero,LC,,06/07/2019,,,,,,,,,,,,,,,
Amblyramphus holosericeus,Aves,Passeriformes,Icteridae,Amblyramphus,holosericeus,,federal,LC,,06/07/2019,,,,,,,,,,,,,,,
Ammodramus humeralis,Aves,Passeriformes,Emberizidae,Ammodramus,humeralis,,chingolo ceja amarilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Anas bahamensis,Aves,Anseriformes,Anatidae,Anas,bahamensis,,pato gargantilla,LC,,06/07/2019,,,,,,,,,,,,,,,
Anas flavirostris,Aves,Anseriformes,Anatidae,Anas,flavirostris,,pato barcino,LC,,06/07/2019,,,,,,,,,,,,,,,
Anas georgica,Aves,Anseriformes,Anatidae,Anas,georgica,,pato maicero,LC,,06/07/2019,,,,,,,,,,,,,,,
Anas platyrhynchos,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Anhima cornuta,Aves,Anseriformes,Anhimidae,Anhima,cornuta,,aruco,LC,,06/07/2019,,,,,,,,,,,,,,,
Anhinga anhinga,Aves,Suliformes,Anhingidae,Anhinga,anhinga,,aninga,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthracothorax nigricollis,Aves,Apodiformes,Trochilidae,Anthracothorax,nigricollis,,picaflor vientre negro,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthus correndera,Aves,Passeriformes,Motacillidae,Anthus,correndera,,cachirla uña larga,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthus furcatus,Aves,Passeriformes,Motacillidae,Anthus,furcatus,,cachirla común,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthus hellmayri,Aves,Passeriformes,Motacillidae,Anthus,hellmayri,,cachirla pálida,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthus lutescens,Aves,Passeriformes,Motacillidae,Anthus,lutescens,,cachirla chica,LC,,06/07/2019,,,,,,,,,,,,,,,
Anthus nattereri,Aves,Passeriformes,Motacillidae,Anthus,nattereri,,cachirla,VU,,06/07/2019,,,,,,,,,,,,,,,
Anumbius annumbi,Aves,Passeriformes,Furnariidae,Anumbius,annumbi,,espinero,LC,,06/07/2019,,,,,,,,,,,,,,,
Aptenodytes patagonicus,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,,pingüino rey,LC,,06/07/2019,,,,,,,,,,,,,,,
Aramides cajaneus,Aves,Gruiformes,Rallidae,Aramides,cajaneus,,chiricote,LC,,06/07/2019,,,,,,,,,,,,,,,
Aramides ypecaha,Aves,Gruiformes,Rallidae,Aramides,ypecaha,,gallineta grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Aramus guarauna,Aves,Gruiformes,Aramidae,Aramus,guarauna,,carao,LC,,06/07/2019,,,,,,,,,,,,,,,
Ardea alba,Aves,Pelecaniformes,Ardeidae,Ardea,alba,,garza blanca grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Ardea cocoi,Aves,Pelecaniformes,Ardeidae,Ardea,cocoi,,garza mora,LC,,06/07/2019,,,,,,,,,,,,,,,
Ardenna gravis,Aves,Procellariiformes,Procellariidae,Ardenna,gravis,,pardela cabeza negra,LC,,06/07/2019,,,,,,,,,,,,,,,
Ardenna grisea,Aves,Procellariiformes,Procellariidae,Ardenna,grisea,,pardela oscura,NT,,06/07/2019,,,,,,,,,,,,,,,
Arenaria interpres,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,,vuelvepiedras,LC,,06/07/2019,,,,,,,,,,,,,,,
Asio flammeus,Aves,Strigiformes,Strigidae,Asio,flammeus,,lechuzón de campo,LC,,06/07/2019,,,,,,,,,,,,,,,
Asthenes baeri,Aves,Passeriformes,Furnariidae,Asthenes,baeri,,canastero común,LC,,06/07/2019,,,,,,,,,,,,,,,
Asthenes pyrrholeuca,Aves,Passeriformes,Furnariidae,Asthenes,pyrrholeuca,,canastero coludo,LC,,06/07/2019,,,,,,,,,,,,,,,
Athene cunicularia,Aves,Strigiformes,Strigidae,Athene,cunicularia,,lechucita de campo,LC,,06/07/2019,,,,,,,,,,,,,,,
Bartramia longicauda,Aves,Charadriiformes,Scolopacidae,Bartramia,longicauda,,batitú,LC,,06/07/2019,,,,,,,,,,,,,,,
Basileuterus culicivorus,Aves,Passeriformes,Parulidae,Basileuterus,culicivorus,,arañero chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Botaurus pinnatus,Aves,Pelecaniformes,Ardeidae,Botaurus,pinnatus,,mirasol grande,LC,,06/07/2019,,,,,,,,,,,,,,,
Brotogeris chiriri,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Bubo virginianus,Aves,Strigiformes,Strigidae,Bubo,virginianus,,ñacurutú,LC,,06/07/2019,,,,,,,,,,,,,,,
