scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Akodon azarae,Mammalia,Rodentia,Cricetidae,Akodon,azarae,,ratón de campo,LC,,06/07/2019
Akodon montensis,Mammalia,Rodentia,Cricetidae,Akodon,montensis,,,LC,,06/07/2019
Akodon reigi,Mammalia,Rodentia,Cricetidae,Akodon,reigi,,ratón de monte,LC,,06/07/2019
Alouatta caraya,Mammalia,Primates,Atelidae,Alouatta,caraya,,mono aullador negro,LC,,06/07/2019
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Arctocephalus,australis,,lobo marino fino,LC,,06/07/2019
Arctocephalus gazella,Mammalia,Carnivora,Otariidae,Arctocephalus,gazella,,lobo fino antártico,LC,,06/07/2019
Arctocephalus tropicalis,Mammalia,Carnivora,Otariidae,Arctocephalus,tropicalis,,lobo marino fino subantártico,LC,,06/07/2019
Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,,ballena minke enana,LC,,06/07/2019
Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,bonaerensis,,ballena minke antártica,NT,,06/07/2019
Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,edeni,,ballena de eden,LC,,06/07/2019
Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,,ballena azul,EN,,06/07/2019
Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,,ballena fin,VU,,06/07/2019
Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,,ciervo de los pantanos,VU,,06/07/2019
Cabassous tatouay,Mammalia,Cingulata,Dasypodidae,Cabassous,tatouay,,tatú de rabo molle,LC,,06/07/2019
Calomys laucha,Mammalia,Rodentia,Cricetidae,Calomys,laucha,,laucha,LC,,06/07/2019
Caperea marginata,Mammalia,Cetacea,Neobalaenidae,Caperea,marginata,,ballena franca pigmea,LC,,06/07/2019
Cavia aperea,Mammalia,Rodentia,Caviidae,Cavia,aperea,,apereá,LC,,06/07/2019
Cavia fulgida,Mammalia,Rodentia,Caviidae,Cavia,fulgida,,,LC,,06/07/2019
Cavia magna,Mammalia,Rodentia,Caviidae,Cavia,magna,,apereá de dorso oscuro,LC,,06/07/2019
Cerdocyon thous,Mammalia,Carnivora,Canidae,Cerdocyon,thous,,zorro perro,LC,,06/07/2019
Chironectes minimus,Mammalia,Didelphimorphia,Didelphidae,Chironectes,minimus,,yapok,LC,,06/07/2019
Chrysocyon brachyurus,Mammalia,Carnivora,Canidae,Chrysocyon,brachyurus,,aguaraguazú,NT,,06/07/2019
Coendou prehensilis,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,,coendú,LC,,06/07/2019
Conepatus chinga,Mammalia,Carnivora,Mephitidae,Conepatus,chinga,,zorrillo,LC,,06/07/2019
Cryptonanus chacoensis,Mammalia,Didelphimorphia,Didelphidae,Cryptonanus,chacoensis,,marmosa,LC,,06/07/2019
