species,class,order,family,genus,specificEpithet,establishmentMeans
Ephedra tweediana,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,tweediana,nativa
Echinodorus grandiflorus,Liliopsida,Alismatales,Alismataceae,Echinodorus,grandiflorus,nativa
Echinodorus longiscapus,Liliopsida,Alismatales,Alismataceae,Echinodorus,longiscapus,nativa
Hydrocleys nymphoides,Liliopsida,Alismatales,Alismataceae,Hydrocleys,nymphoides,nativa
Sagittaria montevidensis,Liliopsida,Alismatales,Alismataceae,Sagittaria,montevidensis,nativa
Arum italicum,Liliopsida,Alismatales,Araceae,Arum,italicum,introducida
Lemna gibba,Liliopsida,Alismatales,Araceae,Lemna,gibba,introducida
Lemna valdiviana,Liliopsida,Alismatales,Araceae,Lemna,valdiviana,nativa
Mangonia uruguaya,Liliopsida,Alismatales,Araceae,Mangonia,uruguaya,nativa
Pistia stratiotes,Liliopsida,Alismatales,Araceae,Pistia,stratiotes,nativa
Thaumatophyllum tweedieanum,Liliopsida,Alismatales,Araceae,Thaumatophyllum,tweedieanum,nativa
Wolffia brasiliensis,Liliopsida,Alismatales,Araceae,Wolffia,brasiliensis,nativa
Wolffiella oblonga,Liliopsida,Alismatales,Araceae,Wolffiella,oblonga,nativa
Limnobium laevigatum,Liliopsida,Alismatales,Hydrocharitaceae,Limnobium,laevigatum,nativa
Triglochin scilloides,Liliopsida,Alismatales,Juncaginaceae,Triglochin,scilloides,nativa
Triglochin striata,Liliopsida,Alismatales,Juncaginaceae,Triglochin,striata,nativa
Potamogeton ferrugineus,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,ferrugineus,nativa
Potamogeton pusillus,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,pusillus,nativa
Butia capitata,Liliopsida,Arecales,Arecaceae,Butia,capitata,nativa
Butia lallemantii,Liliopsida,Arecales,Arecaceae,Butia,lallemantii,nativa
Butia odorata,Liliopsida,Arecales,Arecaceae,Butia,odorata,nativa
Butia paraguayensis,Liliopsida,Arecales,Arecaceae,Butia,paraguayensis,nativa
Butia yatay,Liliopsida,Arecales,Arecaceae,Butia,yatay,nativa
Phoenix canariensis,Liliopsida,Arecales,Arecaceae,Phoenix,canariensis,introducida
Syagrus romanzoffiana,Liliopsida,Arecales,Arecaceae,Syagrus,romanzoffiana,nativa
Trithrinax campestris,Liliopsida,Arecales,Arecaceae,Trithrinax,campestris,nativa
Allium ampeloprasum,Liliopsida,Asparagales,Amaryllidaceae,Allium,ampeloprasum,introducida
Amaryllis belladonna,Liliopsida,Asparagales,Amaryllidaceae,Amaryllis,belladonna,introducida
Beauverdia hirtella,Liliopsida,Asparagales,Amaryllidaceae,Beauverdia,hirtella,nativa
